skill_id,employee_id,skill_name,proficiency_level
S001,E002,Java,Intermediate
S002,E003,SQL,Advanced
S003,E004,React,Beginner
S004,E005,Node.js,Intermediate
S005,E006,AWS,Advanced
S006,E007,Docker,Beginner
S007,E008,ML,Intermediate
S008,E009,NLP,Advanced
S009,E010,Neo4j,Beginner
S010,E011,Python,Intermediate
S011,E012,Java,Advanced
S012,E013,SQL,Beginner
S013,E014,React,Intermediate
S014,E015,Node.js,Advanced
S015,E016,AWS,Beginner
S016,E017,Docker,Intermediate
S017,E018,ML,Advanced
S018,E019,NLP,Beginner
S019,E020,Neo4j,Intermediate
S020,E021,Python,Advanced
S021,E022,Java,Beginner
S022,E023,SQL,Intermediate
S023,E024,React,Advanced
S024,E025,Node.js,Beginner
S025,E026,AWS,Intermediate
S026,E027,Docker,Advanced
S027,E028,ML,Beginner
S028,E029,NLP,Intermediate
S029,E030,Neo4j,Advanced
S030,E031,Python,Beginner
S031,E032,Java,Intermediate
S032,E033,SQL,Advanced
S033,E034,React,Beginner
S034,E035,Node.js,Intermediate
S035,E036,AWS,Advanced
S036,E037,Docker,Beginner
S037,E038,ML,Intermediate
S038,E039,NLP,Advanced
S039,E040,Neo4j,Beginner
S040,E041,Python,Intermediate
S041,E042,Java,Advanced
S042,E043,SQL,Beginner
S043,E044,React,Intermediate
S044,E045,Node.js,Advanced
S045,E046,AWS,Beginner
S046,E047,Docker,Intermediate
S047,E048,ML,Advanced
S048,E049,NLP,Beginner
S049,E050,Neo4j,Intermediate
S050,E051,Python,Advanced
